#SSG/LRR-RM-w2012
VARIABLES = "x","y","k_nondim","omega_nondim"
ZONE T="CFL3D, x=29.2468"
 2.924682617E+01 1.135833144E+00 9.928530781E-04 3.416535037E-06
 2.924682617E+01 1.140771747E+00 9.811960626E-04 3.411950956E-06
 2.924682617E+01 1.145873427E+00 9.690924198E-04 3.407179065E-06
 2.924682617E+01 1.151143789E+00 9.565207292E-04 3.402208449E-06
 2.924682617E+01 1.156588554E+00 9.434653330E-04 3.397033652E-06
 2.924682617E+01 1.162213683E+00 9.299003868E-04 3.391633527E-06
 2.924682617E+01 1.168025374E+00 9.158200701E-04 3.386004209E-06
 2.924682617E+01 1.174029827E+00 9.011988877E-04 3.380137059E-06
 2.924682617E+01 1.180233836E+00 8.859989466E-04 3.374008202E-06
 2.924682617E+01 1.186643958E+00 8.702058694E-04 3.367600812E-06
 2.924682617E+01 1.193267107E+00 8.538031834E-04 3.360902838E-06
 2.924682617E+01 1.200110912E+00 8.367662667E-04 3.353896773E-06
 2.924682617E+01 1.207182527E+00 8.190710796E-04 3.346560788E-06
 2.924682617E+01 1.214489937E+00 8.006778080E-04 3.338863962E-06
 2.924682617E+01 1.222041011E+00 7.815641584E-04 3.330783329E-06
 2.924682617E+01 1.229843974E+00 7.617142401E-04 3.322296379E-06
 2.924682617E+01 1.237907529E+00 7.410906837E-04 3.313361731E-06
 2.924682617E+01 1.246240377E+00 7.196615334E-04 3.303937547E-06
 2.924682617E+01 1.254851818E+00 6.974060670E-04 3.293987675E-06
 2.924682617E+01 1.263751268E+00 6.742971018E-04 3.283460728E-06
 2.924682617E+01 1.272948623E+00 6.502928445E-04 3.272288041E-06
 2.924682617E+01 1.282453656E+00 6.253777537E-04 3.260404128E-06
 2.924682617E+01 1.292277098E+00 5.995157990E-04 3.247721907E-06
 2.924682617E+01 1.302429676E+00 5.726780510E-04 3.234138603E-06
 2.924682617E+01 1.312922716E+00 5.448432057E-04 3.219530527E-06
 2.924682617E+01 1.323767543E+00 5.159988068E-04 3.203747838E-06
 2.924682617E+01 1.334976077E+00 4.861229681E-04 3.186591812E-06
 2.924682617E+01 1.346561074E+00 4.551887396E-04 3.167806881E-06
 2.924682617E+01 1.358534694E+00 4.232067149E-04 3.147076541E-06
 2.924682617E+01 1.370910645E+00 3.901820455E-04 3.123968099E-06
 2.924682617E+01 1.383702397E+00 3.561367630E-04 3.097888339E-06
 2.924682617E+01 1.396924019E+00 3.211261646E-04 3.068011665E-06
 2.924682617E+01 1.410590172E+00 2.852260077E-04 3.033146186E-06
 2.924682617E+01 1.424715996E+00 2.485545992E-04 2.991482461E-06
 2.924682617E+01 1.439316869E+00 2.113394585E-04 2.940232434E-06
 2.924682617E+01 1.454409003E+00 1.739085856E-04 2.874819302E-06
 2.924682617E+01 1.470009208E+00 1.367884979E-04 2.787344329E-06
 2.924682617E+01 1.486134648E+00 1.008454783E-04 2.663586201E-06
 2.924682617E+01 1.502803087E+00 6.749448221E-05 2.477463795E-06
 2.924682617E+01 1.520033002E+00 3.891041342E-05 2.185586482E-06
 2.924682617E+01 1.537843466E+00 1.777666148E-05 1.746882162E-06
 2.924682617E+01 1.556254268E+00 5.687493285E-06 1.217812496E-06
 2.924682617E+01 1.575285554E+00 1.084345968E-06 8.157311981E-07
 2.924682617E+01 1.594958425E+00 1.384996864E-07 6.658556799E-07
 2.924682617E+01 1.615294933E+00 5.907763168E-08 6.477337706E-07
 2.924682617E+01 1.636317134E+00 5.568118411E-08 6.469477398E-07
 2.924682617E+01 1.658048749E+00 5.555607174E-08 6.469233540E-07
 2.924682617E+01 1.680513620E+00 5.555197902E-08 6.469248319E-07
