VARIABLES = "y","uuprime","wwprime","vvprime"
ZONE T="CFL3D, SA"
 4.809483886E-01 1.422288676E-10 2.671563804E-10 3.870933851E-10
 4.958432019E-01 1.418545420E-10 2.664661547E-10 3.860998743E-10
 5.111992955E-01 1.414646594E-10 2.657418174E-10 3.850544883E-10
 5.270310044E-01 1.410600248E-10 2.649843955E-10 3.839584484E-10
 5.433530211E-01 1.406416650E-10 2.641953600E-10 3.828135864E-10
 5.601804852E-01 1.402108984E-10 2.633765428E-10 3.816223448E-10
 5.775290728E-01 1.397693072E-10 2.625303308E-10 3.803878323E-10
 5.954149961E-01 1.393187926E-10 2.616596384E-10 3.791139347E-10
 6.138547659E-01 1.388616305E-10 2.607679905E-10 3.778053981E-10
 6.328656673E-01 1.384004994E-10 2.598595783E-10 3.764678569E-10
 6.524653435E-01 1.379385217E-10 2.589393422E-10 3.751080002E-10
